sensor,total_shap,importance_pct
sensor_4,12.666586540483312,12.1
sensor_11,11.264387011002842,10.76
sensor_8,9.114137925881705,8.71
sensor_15,8.459647896267331,8.08
sensor_9,8.419850663735835,8.05
sensor_12,7.942933328838833,7.59
sensor_7,7.2780485617894675,6.96
sensor_14,7.209752247908711,6.89
sensor_13,7.110665730290417,6.8
sensor_2,6.3548896136688535,6.07
sensor_20,6.260354784722346,5.98
sensor_3,4.841562646892528,4.63
sensor_17,3.9067246333273613,3.73
sensor_21,3.6546807951797735,3.49
setting_1,0.11815907821990536,0.11
setting_2,0.04018538382649451,0.04
sensor_6,0.00014354333877562907,0.0
sensor_5,0.0,0.0
sensor_19,0.0,0.0
sensor_18,0.0,0.0
sensor_10,0.0,0.0
sensor_1,0.0,0.0
setting_3,0.0,0.0
sensor_16,0.0,0.0
